model_name,vehicle_class,fleet_vehicle_days,booked_hours,booked_revenue_krw,stockout_days,booked_vehicle_days,utilization_rate,repair_cost_raw_krw,repair_cost_winsorized_krw,repair_cost_removed_as_excess_krw,repair_cost_outlier_cap_vehicle_level_krw,depreciation_cost_krw,depreciation_status,profit_proxy_before_depreciation_krw,profit_margin_proxy_before_depreciation
24년 더 뉴 쏘렌토 4륜(7인/휘),SUV,7644,36617.7,85493112.0,0,1525.7375,0.19959935897435896,48200.0,48200.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,85444912.0,0.9994362118903801
25년 GV80 4륜(7인/휘),SUV,2749,18930.466666666667,84879401.0,7,788.7694444444445,0.2869295905581828,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,84879401.0,1.0
24년 싼타페 하이브리드 4륜 (7인/휘),SUV,5292,30057.55,81613515.0,0,1252.3979166666666,0.2366587144116906,170000.0,170000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,81443515.0,0.9979170116616102
25년 투싼 4륜(휘),SUV,3528,33185.05,79600880.0,31,1382.7104166666668,0.39192472127739986,71610.0,71610.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,79529270.0,0.9991003868298943
24년 카니발 하이리무진 9인승(경유),RV,2940,16983.816666666666,78717482.0,5,707.6590277777777,0.24070034958427813,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,78717482.0,1.0
24년 더 뉴 K5 하이브리드(휘),MIDSIZE,5880,41530.8,76177447.0,1,1730.45,0.2942942176870748,473000.0,473000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,75704447.0,0.9937908131786038
24년 더 뉴 셀토스(휘),SUV,6468,41920.53333333333,75515213.0,0,1746.6888888888889,0.2700508486222772,720000.0,720000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,74795213.0,0.9904654973296573
25년 카니발리무진 7인승(휘),RV,2866,19271.316666666666,72770617.0,12,802.9715277777777,0.28017150306272776,96000.0,96000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,72674617.0,0.9986807862299697
24년 벤츠 CLE 컨버터블(휘),IMPORTED,2450,12979.15,72085195.0,9,540.7979166666667,0.22073384353741496,3329700.0,1733183.0000000005,1596516.9999999995,908483.0000000005,,unavailable_purchase_sale_fields,70352012.0,0.97595646373711
25년 EV3(전기),EV,5430,27548.95,70269025.0,0,1147.8729166666667,0.21139464395334562,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,70269025.0,1.0
24년 더 뉴 카니발 9인승(경유),RV,6468,22426.283333333333,68151395.0,0,934.4284722222222,0.14446946076410364,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,68151395.0,1.0
25년 GV70 4륜(5인/휘),SUV,2632,17812.25,68135409.0,11,742.1770833333334,0.2819821745187437,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,68135409.0,1.0
24년 BMW 420i 컨버터블(휘),IMPORTED,2940,14179.366666666667,67992224.0,3,590.8069444444444,0.20095474300831442,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,67992224.0,1.0
20년 코나(전기),EV,20580,47040.166666666664,70595847.0,0,1960.0069444444443,0.09523843267465716,5599340.0,4383833.0,1215506.9999999995,908483.0000000005,,unavailable_purchase_sale_fields,66212014.0,0.9379023953066248
24년 더 뉴 K5(휘),MIDSIZE,4704,35215.98333333333,64066721.0,3,1467.3326388888888,0.31193295894746786,180000.0,180000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,63886721.0,0.9971904290216445
22년 k3(휘),COMPACT,13084,49022.53333333333,63291020.0,0,2042.6055555555556,0.15611476272971228,163111.0,163111.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,63127909.0,0.9974228413446331
25년 팰리세이드 4륜(휘),SUV,2249,16731.05,61732600.0,17,697.1270833333333,0.30997202460352746,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,61732600.0,1.0
25년 카니발 리무진 하이브리드 7인(휘),RV,2199,14042.3,57590850.0,8,585.0958333333333,0.2660735940579051,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,57590850.0,1.0
26년 BMW 420i 컨버터블(휘),IMPORTED,1532,10296.25,56634985.0,7,429.0104166666667,0.28003290905134903,110000.0,110000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,56524985.0,0.9980577376333727
26년 카니발리무진 7인승(휘),RV,1848,13373.683333333332,56379290.0,0,557.2368055555555,0.3015350679413179,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,56379290.0,1.0
24년 더 뉴 K3(휘),COMPACT,5734,34363.35,55533435.0,0,1431.8062499999999,0.24970461283571677,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,55533435.0,1.0
20년 쏘나타DN8(LPG),MIDSIZE,8232,37292.48333333333,54472540.0,3,1553.853472222222,0.18875771042544,77000.0,77000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,54395540.0,0.9985864437384414
24년 스타리아  11인승(경유),RV,4704,17885.45,54348715.0,0,745.2270833333333,0.15842412485827664,0.0,0.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,54348715.0,1.0
26년 팰리세이드4륜(휘),SUV,2752,18596.983333333334,54230175.0,0,774.8743055555556,0.2815676982396641,680000.0,680000.0,0.0,908483.0000000005,,unavailable_purchase_sale_fields,53550175.0,0.9874608555107927
