dimension,segment,stage,stage_rank,segment_users,segment_reached,segment_rate,rest_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
medium,retargeting,checkout_started,8,7,4,0.5714285714285714,0.14314441602223832,0.4282841554063331,3.234905044111021,0.0012168319152262175,False,0.002881970325535778,True,higher,funnel_stage_reach
medium,retargeting,payment_attempted,9,7,4,0.5714285714285714,0.046354482411911695,0.5250740890166598,6.603371671041191,4.01910216717183e-11,False,1.7224723573593557e-10,True,higher,funnel_stage_reach
medium,retargeting,payment_completed,10,7,4,0.5714285714285714,0.04375212550457631,0.5276764459239951,6.8210458315162645,9.038009933901695e-12,False,3.967906800249525e-11,True,higher,funnel_stage_reach
medium,shuttle,anonymous_visit,1,4,4,1.0,1.0,0.0,0.0,1.0,False,1.0,False,lower,funnel_stage_reach
medium,shuttle,identified_visit,2,4,1,0.25,0.286542271638525,-0.036542271638525026,-0.16163492350034553,0.8715933539433779,False,1.0,False,lower,funnel_stage_reach
medium,shuttle,search_started,3,4,1,0.25,0.28413224118047137,-0.03413224118047137,-0.1513582959339891,0.8796930854093963,False,1.0,False,lower,funnel_stage_reach
medium,shuttle,car_clicked,4,4,1,0.25,0.22762220185113996,0.02237779814886004,0.10673612070332805,0.9149983261025799,False,1.0,False,higher,funnel_stage_reach
medium,shuttle,booking_started,5,4,0,0.0,0.14319720850459827,-0.14319720850459827,-0.8176259918906412,0.4135707812880079,False,0.615229261420177,False,lower,funnel_stage_reach
medium,shuttle,insurance_viewed,6,4,0,0.0,0.14319720850459827,-0.14319720850459827,-0.8176259918906412,0.4135707812880079,False,0.615229261420177,False,lower,funnel_stage_reach
medium,shuttle,insurance_selected,7,4,0,0.0,0.14319720850459827,-0.14319720850459827,-0.8176259918906412,0.4135707812880079,False,0.615229261420177,False,lower,funnel_stage_reach
medium,shuttle,checkout_started,8,4,0,0.0,0.14319720850459827,-0.14319720850459827,-0.8176259918906412,0.4135707812880079,False,0.615229261420177,False,lower,funnel_stage_reach
medium,shuttle,payment_attempted,9,4,0,0.0,0.04641156814619866,-0.04641156814619866,-0.44122692339311054,0.6590487238435552,False,0.8354138752946474,False,lower,funnel_stage_reach
medium,shuttle,payment_completed,10,4,0,0.0,0.04380932667001804,-0.04380932667001804,-0.42809528523322155,0.6685817492367033,False,0.8415714326056405,False,lower,funnel_stage_reach
medium,social,anonymous_visit,1,25,25,1.0,1.0,0.0,0.0,1.0,False,1.0,False,lower,funnel_stage_reach
medium,social,identified_visit,2,25,10,0.4,0.2864981586381317,0.1135018413618683,1.2549174049326717,0.20950874498622302,False,0.3367104830135727,False,higher,funnel_stage_reach
medium,social,search_started,3,25,10,0.4,0.28408737964592606,0.11591262035407396,1.2848272017841007,0.19885267452363745,False,0.32553109733150815,False,higher,funnel_stage_reach
medium,social,car_clicked,4,25,6,0.24,0.22761894901867985,0.01238105098132014,0.14761284455253915,0.8826483176696585,False,1.0,False,higher,funnel_stage_reach
medium,social,booking_started,5,25,3,0.12,0.1431973141259817,-0.023197314125981694,-0.33107807070029743,0.740585515480344,False,0.9068394067106255,False,lower,funnel_stage_reach
medium,social,insurance_viewed,6,25,3,0.12,0.1431973141259817,-0.023197314125981694,-0.33107807070029743,0.740585515480344,False,0.9068394067106255,False,lower,funnel_stage_reach
medium,social,insurance_selected,7,25,3,0.12,0.1431973141259817,-0.023197314125981694,-0.33107807070029743,0.740585515480344,False,0.9068394067106255,False,lower,funnel_stage_reach
medium,social,checkout_started,8,25,3,0.12,0.1431973141259817,-0.023197314125981694,-0.33107807070029743,0.740585515480344,False,0.9068394067106255,False,lower,funnel_stage_reach
medium,social,payment_attempted,9,25,2,0.08,0.04639640305858341,0.03360359694141659,0.7985352727480204,0.4245599324907517,False,0.6263999003961911,False,higher,funnel_stage_reach
medium,social,payment_completed,10,25,2,0.08,0.043793353349207996,0.036206646650792006,0.8843715139401126,0.376495695078946,False,0.5792241462753015,False,higher,funnel_stage_reach
medium,{{placement}},anonymous_visit,1,187,187,1.0,1.0,0.0,0.0,1.0,True,1.0,False,lower,funnel_stage_reach
medium,{{placement}},identified_visit,2,187,29,0.15508021390374332,0.28690456776030004,-0.13182435385655672,-3.9814180320113874,6.850534564829977e-05,True,0.00021260279683955102,True,lower,funnel_stage_reach
medium,{{placement}},search_started,3,187,29,0.15508021390374332,0.28448799869534924,-0.12940778479160592,-3.9183596379321903,8.915362031770845e-05,True,0.0002674608609531253,True,lower,funnel_stage_reach
medium,{{placement}},car_clicked,4,187,19,0.10160427807486631,0.22797289884508753,-0.1263686207702212,-4.115624796506478,3.861320031717384e-05,True,0.00012411385816234446,True,lower,funnel_stage_reach
medium,{{placement}},booking_started,5,187,12,0.06417112299465241,0.14340780714889326,-0.07923668415424084,-3.0892204254312228,0.0020068248509219387,True,0.004459610779826531,True,lower,funnel_stage_reach
medium,{{placement}},insurance_viewed,6,187,12,0.06417112299465241,0.14340780714889326,-0.07923668415424084,-3.0892204254312228,0.0020068248509219387,True,0.004459610779826531,True,lower,funnel_stage_reach
medium,{{placement}},insurance_selected,7,187,12,0.06417112299465241,0.14340780714889326,-0.07923668415424084,-3.0892204254312228,0.0020068248509219387,True,0.004459610779826531,True,lower,funnel_stage_reach
medium,{{placement}},checkout_started,8,187,12,0.06417112299465241,0.14340780714889326,-0.07923668415424084,-3.0892204254312228,0.0020068248509219387,True,0.004459610779826531,True,lower,funnel_stage_reach
medium,{{placement}},payment_attempted,9,187,9,0.0481283422459893,0.04640405627789062,0.0017242859680986836,0.11193026289724434,0.910878701049496,True,1.0,False,higher,funnel_stage_reach
medium,{{placement}},payment_completed,10,187,8,0.0427807486631016,0.04380958028791271,-0.0010288316248111065,-0.06864685406494532,0.9452707226541446,True,1.0,False,lower,funnel_stage_reach
campaign,(unknown),anonymous_visit,1,34956,34956,1.0,1.0,0.0,0.0,1.0,True,1.0,False,lower,funnel_stage_reach
campaign,(unknown),identified_visit,2,34956,12181,0.3484666437807529,0.22030475491096016,0.12816188886979277,36.838437877043376,4.4792307307505775e-297,True,8.722712475672178e-296,True,higher,funnel_stage_reach
campaign,(unknown),search_started,3,34956,12067,0.34520540107563796,0.21880545866226056,0.1263999424133774,36.42427748851955,1.7575178480819436e-290,True,2.8273113208274745e-289,True,higher,funnel_stage_reach
campaign,(unknown),car_clicked,4,34956,10695,0.3059560590456574,0.14384064622728107,0.16211541281837635,50.24825851831379,0.0,True,0.0,True,higher,funnel_stage_reach
campaign,(unknown),booking_started,5,34956,8309,0.2376988213754434,0.042102686494094606,0.1955961348813488,72.57433274783615,0.0,True,0.0,True,higher,funnel_stage_reach
campaign,(unknown),insurance_viewed,6,34956,8309,0.2376988213754434,0.042102686494094606,0.1955961348813488,72.57433274783615,0.0,True,0.0,True,higher,funnel_stage_reach
campaign,(unknown),insurance_selected,7,34956,8309,0.2376988213754434,0.042102686494094606,0.1955961348813488,72.57433274783615,0.0,True,0.0,True,higher,funnel_stage_reach
campaign,(unknown),checkout_started,8,34956,8309,0.2376988213754434,0.042102686494094606,0.1955961348813488,72.57433274783615,0.0,True,0.0,True,higher,funnel_stage_reach
campaign,(unknown),payment_attempted,9,34956,2619,0.07492276004119465,0.015910898965791568,0.059011861075403085,36.456730656086194,5.381615268285523e-291,True,9.050898405752924e-290,True,higher,funnel_stage_reach
campaign,(unknown),payment_completed,10,34956,2515,0.07194759125758096,0.013707851416681965,0.058239739840898995,36.982472137265894,2.1909929990303593e-299,True,4.503707831340184e-298,True,higher,funnel_stage_reach
campaign,120239187540070340,anonymous_visit,1,2389,2389,1.0,1.0,0.0,0.0,1.0,True,1.0,False,lower,funnel_stage_reach
campaign,120239187540070340,identified_visit,2,2389,5,0.002092925910422771,0.2969547426014192,-0.2948618166909964,-31.306943540057368,3.753876842847919e-215,True,4.629781439512433e-214,True,lower,funnel_stage_reach
campaign,120239187540070340,search_started,3,2389,5,0.002092925910422771,0.294456620024828,-0.2923636941144052,-31.120555265788763,1.269813336155476e-212,True,1.381855689345665e-211,True,lower,funnel_stage_reach
campaign,120239187540070340,car_clicked,4,2389,4,0.0016743407283382169,0.23589633557602416,-0.23422199484768594,-26.816630653933224,2.067635159687884e-158,True,2.0132237081171504e-157,True,lower,funnel_stage_reach
campaign,120239187540070340,booking_started,5,2389,0,0.0,0.14843139358457602,-0.14843139358457602,-20.343626544639847,5.287244411798971e-92,True,4.07558423409504e-91,True,lower,funnel_stage_reach
campaign,120239187540070340,insurance_viewed,6,2389,0,0.0,0.14843139358457602,-0.14843139358457602,-20.343626544639847,5.287244411798971e-92,True,4.07558423409504e-91,True,lower,funnel_stage_reach
campaign,120239187540070340,insurance_selected,7,2389,0,0.0,0.14843139358457602,-0.14843139358457602,-20.343626544639847,5.287244411798971e-92,True,4.07558423409504e-91,True,lower,funnel_stage_reach
campaign,120239187540070340,checkout_started,8,2389,0,0.0,0.14843139358457602,-0.14843139358457602,-20.343626544639847,5.287244411798971e-92,True,4.07558423409504e-91,True,lower,funnel_stage_reach
campaign,120239187540070340,payment_attempted,9,2389,0,0.0,0.04810801698110316,-0.04810801698110316,-10.978315073122614,4.859019484702579e-28,True,3.047181710745685e-27,True,lower,funnel_stage_reach
campaign,120239187540070340,payment_completed,10,2389,0,0.0,0.04541065763459976,-0.04541065763459976,-10.651582379576032,1.7142596550129632e-26,True,1.0397968399258956e-25,True,lower,funnel_stage_reach
campaign,120244137151140340,anonymous_visit,1,23,23,1.0,1.0,0.0,0.0,1.0,False,1.0,False,lower,funnel_stage_reach
campaign,120244137151140340,identified_visit,2,23,0,0.0,0.2866375804185462,-0.2866375804185462,-3.039804835520086,0.002367314978987389,False,0.005958547906294789,True,lower,funnel_stage_reach
campaign,120244137151140340,search_started,3,23,0,0.0,0.2842268727353398,-0.2842268727353398,-3.021895712486331,0.0025119707430142713,False,0.006279926857535679,True,lower,funnel_stage_reach
campaign,120244137151140340,car_clicked,4,23,0,0.0,0.2277009539303409,-0.2277009539303409,-2.6039451042857173,0.009215751637039844,False,0.02273218737136495,True,lower,funnel_stage_reach
campaign,120244137151140340,booking_started,5,23,0,0.0,0.14323744731198698,-0.14323744731198698,-1.9608737004822114,0.049893757934680816,False,0.09925102384855862,False,lower,funnel_stage_reach
campaign,120244137151140340,insurance_viewed,6,23,0,0.0,0.14323744731198698,-0.14323744731198698,-1.9608737004822114,0.049893757934680816,False,0.09925102384855862,False,lower,funnel_stage_reach
campaign,120244137151140340,insurance_selected,7,23,0,0.0,0.14323744731198698,-0.14323744731198698,-1.9608737004822114,0.049893757934680816,False,0.09925102384855862,False,lower,funnel_stage_reach
campaign,120244137151140340,checkout_started,8,23,0,0.0,0.14323744731198698,-0.14323744731198698,-1.9608737004822114,0.049893757934680816,False,0.09925102384855862,False,lower,funnel_stage_reach
campaign,120244137151140340,payment_attempted,9,23,0,0.0,0.04642460992383347,-0.04642460992383347,-1.0581736375889947,0.28997628762970856,False,0.46246218285772484,False,lower,funnel_stage_reach
campaign,120244137151140340,payment_completed,10,23,0,0.0,0.043821637210678104,-0.043821637210678104,-1.026680651593732,0.3045708629388309,False,0.4836533016625212,False,lower,funnel_stage_reach
campaign,120244167499720340,anonymous_visit,1,155,155,1.0,1.0,0.0,0.0,1.0,True,1.0,False,lower,funnel_stage_reach
campaign,120244167499720340,identified_visit,2,155,18,0.11612903225806452,0.2869315234948061,-0.17080249123674157,-4.697690154248554,2.6312018200895493e-06,True,1.0247838667717193e-05,True,lower,funnel_stage_reach
campaign,120244167499720340,search_started,3,155,18,0.11612903225806452,0.28451610035119956,-0.16838706809313503,-4.643021198218079,3.4335110740814346e-06,True,1.3233323931355528e-05,True,lower,funnel_stage_reach
campaign,120244167499720340,car_clicked,4,155,13,0.08387096774193549,0.22795370685950536,-0.14408273911756986,-4.273232530771069,1.9265935531018338e-05,True,7.057817966808698e-05,True,lower,funnel_stage_reach
campaign,120244167499720340,booking_started,5,155,5,0.03225806451612903,0.1434435339270631,-0.11118546941093407,-3.947468548838373,7.898188980450332e-05,True,0.00025861326750147105,True,lower,funnel_stage_reach
campaign,120244167499720340,insurance_viewed,6,155,5,0.03225806451612903,0.1434435339270631,-0.11118546941093407,-3.947468548838373,7.898188980450332e-05,True,0.00025861326750147105,True,lower,funnel_stage_reach
campaign,120244167499720340,insurance_selected,7,155,5,0.03225806451612903,0.1434435339270631,-0.11118546941093407,-3.947468548838373,7.898188980450332e-05,True,0.00025861326750147105,True,lower,funnel_stage_reach
campaign,120244167499720340,checkout_started,8,155,5,0.03225806451612903,0.1434435339270631,-0.11118546941093407,-3.947468548838373,7.898188980450332e-05,True,0.00025861326750147105,True,lower,funnel_stage_reach
campaign,120244167499720340,payment_attempted,9,155,2,0.012903225806451613,0.046485781604255885,-0.033582555797804274,-1.9851805653447494,0.04712438576716314,True,0.09580232271346352,False,lower,funnel_stage_reach
campaign,120244167499720340,payment_completed,10,155,1,0.0064516129032258064,0.04389253589792985,-0.03744092299470404,-2.274945099186723,0.02290922345056895,True,0.05106272696813561,False,lower,funnel_stage_reach
campaign,120244330531970340,anonymous_visit,1,11,11,1.0,1.0,0.0,0.0,1.0,False,1.0,False,lower,funnel_stage_reach
campaign,120244330531970340,identified_visit,2,11,2,0.18181818181818182,0.2865571443358422,-0.10473896251766035,-0.7682309495332337,0.44234998935941344,False,0.6447909837422636,False,lower,funnel_stage_reach
campaign,120244330531970340,search_started,3,11,2,0.18181818181818182,0.28414686441805787,-0.10232868259987604,-0.7524587178640629,0.4517752467849857,False,0.655517024746842,False,lower,funnel_stage_reach
campaign,120244330531970340,car_clicked,4,11,1,0.09090909090909091,0.2276457627870525,-0.1367366718779616,-1.08149107261727,0.279478729693136,False,0.4476499133613,False,lower,funnel_stage_reach
