dimension,segment,insurance_metric,denominator,segment_n,segment_successes,segment_rate,rest_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
medium,retargeting,reservation_insurance_row_reservation_users,reservation_users,4,4,1.0,0.9881210618737734,0.011878938126226646,0.21928688047101816,0.8264265810749172,False,0.9060134813581701,False,higher,insurance_selection
medium,social,reservation_insurance_row_reservation_users,reservation_users,3,3,1.0,0.9881222887833092,0.01187771121669079,0.18989820167959554,0.8493889016813045,False,0.9060134813581701,False,higher,insurance_selection
medium,{{placement}},reservation_insurance_row_reservation_users,reservation_users,12,12,1.0,0.9881112374651091,0.011888762534890907,0.3799730482942064,0.7039654217144433,False,0.9060134813581701,False,higher,insurance_selection
campaign,(unknown),event_selected_all_users,all_users,34956,710,0.02031124842659343,0.028486628725292208,-0.008175380298698777,-6.905611362151241,4.998767643809859e-12,True,2.392423087829082e-11,True,lower,insurance_selection
campaign,120239187540070340,event_selected_all_users,all_users,2389,0,0.0,0.025149810725068583,-0.025149810725068583,-7.847091502716502,4.2579658972386965e-15,True,2.3844609024536697e-14,True,lower,insurance_selection
campaign,120244137151140340,event_selected_all_users,all_users,23,0,0.0,0.0242697626266361,-0.0242697626266361,-0.7563624567719194,0.4494319109262604,False,0.8299974360865897,False,lower,insurance_selection
campaign,120244167499720340,event_selected_all_users,all_users,155,3,0.01935483870967742,0.024272779811211714,-0.0049179411015342935,-0.3974892189552151,0.6910067351542654,True,0.9293002762569499,False,lower,insurance_selection
campaign,120244330531970340,event_selected_all_users,all_users,11,0,0.0,0.02426545610481021,-0.02426545610481021,-0.5230266925072073,0.6009556781828158,False,0.9293002762569499,False,lower,insurance_selection
campaign,120246521735130340,event_selected_all_users,all_users,35,0,0.0,0.024274070677336803,-0.024274070677336803,-0.9331223886789376,0.35075678069820515,False,0.7554761430422879,False,lower,insurance_selection
campaign,120246525617030340,event_selected_all_users,all_users,86,1,0.011627906976744186,0.02427759355755566,-0.012649686580811476,-0.7619510775788749,0.4460892033535822,True,0.8299974360865897,False,lower,insurance_selection
campaign,23205597293,event_selected_all_users,all_users,1470,137,0.09319727891156462,0.02273002055374199,0.07046725835782264,17.367969074142913,1.4424156485232378e-67,True,2.6925092105767103e-66,True,higher,insurance_selection
campaign,23683448292,event_selected_all_users,all_users,612,41,0.06699346405228758,0.023871333512368333,0.04312213053991924,6.902025556820487,5.12662090249089e-12,True,2.392423087829082e-11,True,higher,insurance_selection
campaign,23688781100,event_selected_all_users,all_users,2506,168,0.0670391061452514,0.02261561137382546,0.04442349477142593,14.183370659846382,1.1613177365709594e-45,True,1.3006758649594747e-44,True,higher,insurance_selection
campaign,23725606539,event_selected_all_users,all_users,6218,0,0.0,0.026717681536958644,-0.026717681536958644,-13.048422931150515,6.487647716052732e-39,True,6.055137868315882e-38,True,lower,insurance_selection
campaign,23730825041,event_selected_all_users,all_users,2,0,0.0,0.024262227216275356,-0.024262227216275356,-0.22300449247818405,0.823532010053442,False,0.9293002762569499,False,lower,insurance_selection
campaign,23735454208,event_selected_all_users,all_users,2677,223,0.08330220395965633,0.02182848170440726,0.06147372225524907,20.259048214371848,2.956220237079343e-91,True,8.27741666382216e-90,True,higher,insurance_selection
campaign,23735454211,event_selected_all_users,all_users,123,0,0.0,0.024305709842257276,-0.024305709842257276,-1.7504108301249102,0.08004744856369081,True,0.2490365066425936,False,lower,insurance_selection
campaign,23754383997,event_selected_all_users,all_users,2998,320,0.1067378252168112,0.020436262376237625,0.08630156284057358,30.02369499698242,4.815467934085976e-198,True,2.6966620430881462e-196,True,higher,insurance_selection
campaign,23754385140,event_selected_all_users,all_users,20,1,0.05,0.024253896891360288,0.025746103108639715,0.7482326470708884,0.4543198422167165,False,0.8299974360865897,False,higher,insurance_selection
campaign,23754391341,event_selected_all_users,all_users,356,0,0.0,0.024389881394726674,-0.024389881394726674,-2.983067802866685,0.002853747669386794,True,0.012293066883512345,True,lower,insurance_selection
campaign,23754401031,event_selected_all_users,all_users,1,0,0.0,0.024261868503925366,-0.024261868503925366,-0.15768682316882845,0.8747035841712179,False,0.9293002762569499,False,lower,insurance_selection
campaign,23923003826,event_selected_all_users,all_users,5,0,0.0,0.024263303416971006,-0.024263303416971006,-0.35260888242428723,0.724381677599496,False,0.9293002762569499,False,lower,insurance_selection
campaign,23923173272,event_selected_all_users,all_users,2,0,0.0,0.024262227216275356,-0.024262227216275356,-0.22300449247818405,0.823532010053442,False,0.9293002762569499,False,lower,insurance_selection
campaign,BFF_program,event_selected_all_users,all_users,71,4,0.056338028169014086,0.024227803513549515,0.03211022465546457,1.7575950777003395,0.07881643148083199,True,0.2490365066425936,False,higher,insurance_selection
campaign,Core+Appeal+Validation+%7C+v1+%7C+2025-11,event_selected_all_users,all_users,132,0,0.0,0.02430895031552751,-0.02430895031552751,-1.8134406643735121,0.06976388245866358,True,0.2441735886053225,False,lower,insurance_selection
campaign,INFLUENCER,event_selected_all_users,all_users,41,12,0.2926829268292683,0.024098702605145197,0.2685842242241231,11.17416629722863,5.456028292311334e-29,False,4.3648226338490675e-28,True,higher,insurance_selection
campaign,Orcar Purchase Asia,event_selected_all_users,all_users,2,0,0.0,0.024262227216275356,-0.024262227216275356,-0.22300449247818405,0.823532010053442,False,0.9293002762569499,False,lower,insurance_selection
campaign,abandoned_reservation_v2,event_selected_all_users,all_users,7,1,0.14285714285714285,0.02424923481835253,0.11860790803879032,2.0394570396526492,0.041404434636388925,False,0.154576555975852,False,higher,insurance_selection
campaign,arbstub,event_selected_all_users,all_users,2,0,0.0,0.024262227216275356,-0.024262227216275356,-0.22300449247818405,0.823532010053442,False,0.9293002762569499,False,lower,insurance_selection
campaign,as-npt117206356,event_selected_all_users,all_users,1,0,0.0,0.024261868503925366,-0.024261868503925366,-0.15768682316882845,0.8747035841712179,False,0.9293002762569499,False,lower,insurance_selection
campaign,domain_click,event_selected_all_users,all_users,7,0,0.0,0.02426402093714421,-0.02426402093714421,-0.417218625037666,0.6765185032307298,False,0.9293002762569499,False,lower,insurance_selection
campaign,family-special-2026-05,event_selected_all_users,all_users,22,0,0.0,0.02426940369143398,-0.02426940369143398,-0.739731605708327,0.45946286640507644,False,0.8299974360865897,False,lower,insurance_selection
campaign,influencer,event_selected_all_users,all_users,38,2,0.05263157894736842,0.024245562130177516,0.028386016817190902,1.1369689197657076,0.255551278703417,False,0.5962863169746396,False,higher,insurance_selection
campaign,logo_click,event_selected_all_users,all_users,29,0,0.0,0.024271916460826222,-0.024271916460826222,-0.8493453525771213,0.39568915168076213,False,0.8206886108934326,False,lower,insurance_selection
campaign,referral_share_25,event_selected_all_users,all_users,6,0,0.0,0.024263662171753016,-0.024263662171753016,-0.38626653337847083,0.6992992833033331,False,0.9293002762569499,False,lower,insurance_selection
campaign,seoul_en_2026q2,event_selected_all_users,all_users,8684,0,0.0,0.027835261390236454,-0.027835261390236454,-15.739496699315268,8.108604141522537e-56,True,1.1352045798131552e-54,True,lower,insurance_selection
campaign,seoul_zh_2026q2,event_selected_all_users,all_users,3695,2,0.0005412719891745603,0.02563220368140375,-0.025090931692229188,-9.638279239193881,5.510390382055539e-22,True,3.428687348834558e-21,True,lower,insurance_selection
campaign,shuttle-partnership,event_selected_all_users,all_users,29,9,0.3103448275862069,0.024138798089011818,0.2862060294971951,10.015186127775523,1.3071562990817045e-23,False,9.150094093571932e-23,True,higher,insurance_selection
campaign,supera26,event_selected_all_users,all_users,40,0,0.0,0.02427586614988609,-0.02427586614988609,-0.9975866858621879,0.3184798198604809,False,0.7133947964874773,False,lower,insurance_selection
