dimension,segment,users,reservation_users,paid_users,insurance_event_users,insurance_row_users,avg_event_count,avg_reservation_count,reservation_rate,paid_user_rate,paid_after_reservation_rate,insurance_event_rate_all_users,insurance_row_rate_all_users,insurance_row_rate_reservation_users
source,perplexity,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
medium,(unknown),35307,8309,2514,710,8204,4.066785623247514,0.6060271334296315,0.23533576911094117,0.0712040105361543,0.3025634853773017,0.02010932676239839,0.2323618545897414,0.987363100252738
medium,cpc,16655,1306,402,887,1297,7.8848393875713,0.219393575502852,0.0784148904232963,0.024136895827078956,0.30781010719754975,0.05325728009606725,0.07787451215851096,0.9931087289433385
medium,INFLUENCER,41,20,16,12,19,69.4390243902439,2.6097560975609757,0.4878048780487805,0.3902439024390244,0.8,0.2926829268292683,0.4634146341463415,0.95
medium,{{placement}},187,12,8,7,12,10.903743315508022,1.588235294117647,0.06417112299465241,0.0427807486631016,0.6666666666666666,0.0374331550802139,0.06417112299465241,1.0
medium,referral,71,8,7,4,8,9.605633802816902,1.9577464788732395,0.11267605633802817,0.09859154929577464,0.875,0.056338028169014086,0.11267605633802817,1.0
medium,blog,25,10,5,9,10,48.64,2.44,0.4,0.2,0.5,0.36,0.4,1.0
medium,retargeting,7,4,4,1,4,22.571428571428573,3.857142857142857,0.5714285714285714,0.5714285714285714,1.0,0.14285714285714285,0.5714285714285714,1.0
medium,social,25,3,2,3,3,10.92,0.44,0.12,0.08,0.6666666666666666,0.12,0.12,1.0
medium,crm,6,2,2,0,2,2.3333333333333335,2.6666666666666665,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0
medium,paid,2699,6,1,4,6,1.2893664320118563,0.008151167098925528,0.002223045572434235,0.0003705075954057058,0.16666666666666666,0.0014820303816228233,0.002223045572434235,1.0
medium,link,38,2,1,2,2,6.552631578947368,0.13157894736842105,0.05263157894736842,0.02631578947368421,0.5,0.05263157894736842,0.05263157894736842,1.0
medium,marketing,22,1,1,0,1,4.090909090909091,0.2727272727272727,0.045454545454545456,0.045454545454545456,1.0,0.0,0.045454545454545456,1.0
medium,demandgen,12379,2,0,2,2,1.352047822925923,0.00024234590839324662,0.00016156393892883107,0.0,0.0,0.00016156393892883107,0.00016156393892883107,1.0
medium,Facebook_Right_Column,132,0,0,0,0,1.871212121212121,0.0,0.0,0.0,,0.0,0.0,
medium,company_profile,36,0,0,0,0,1.9444444444444444,0.0,0.0,0.0,,0.0,0.0,
medium,shuttle,4,0,0,0,0,2.75,0.0,0.0,0.0,,0.0,0.0,
medium,Instagram_Stories,2,0,0,0,0,4.5,0.0,0.0,0.0,,0.0,0.0,
medium,arbstub,2,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
campaign,(unknown),34956,8309,2515,710,8204,4.096235267193043,0.6122267994049663,0.2376988213754434,0.07194759125758096,0.3026838368034661,0.02031124842659343,0.2346950451996796,0.987363100252738
campaign,23754383997,2998,446,159,320,446,13.848565710473649,0.46997998665777185,0.14876584389593062,0.05303535690460307,0.35650224215246634,0.1067378252168112,0.14876584389593062,1.0
campaign,23735454208,2677,326,122,223,322,11.158759805752709,0.2939858050056033,0.12177810982443034,0.04557340306313037,0.37423312883435583,0.08330220395965633,0.12028389988793425,0.9877300613496932
campaign,23205597293,1470,201,59,137,199,12.21156462585034,0.4108843537414966,0.13673469387755102,0.04013605442176871,0.2935323383084577,0.09319727891156462,0.13537414965986394,0.9900497512437811
campaign,23688781100,2506,261,34,168,260,10.132881085395052,0.26097366320830007,0.10415003990422984,0.013567438148443736,0.13026819923371646,0.0670391061452514,0.10375099760574621,0.9961685823754789
campaign,23683448292,612,70,28,41,68,12.091503267973856,0.3104575163398693,0.11437908496732026,0.0457516339869281,0.4,0.06699346405228758,0.1111111111111111,0.9714285714285714
campaign,INFLUENCER,41,20,16,12,19,69.4390243902439,2.6097560975609757,0.4878048780487805,0.3902439024390244,0.8,0.2926829268292683,0.4634146341463415,0.95
campaign,{{campaign.name}},187,12,8,7,12,10.903743315508022,1.588235294117647,0.06417112299465241,0.0427807486631016,0.6666666666666666,0.0374331550802139,0.06417112299465241,1.0
campaign,BFF_program,71,8,7,4,8,9.605633802816902,1.9577464788732395,0.11267605633802817,0.09859154929577464,0.875,0.056338028169014086,0.11267605633802817,1.0
campaign,shuttle-partnership,29,10,5,9,10,42.310344827586206,2.103448275862069,0.3448275862068966,0.1724137931034483,0.5,0.3103448275862069,0.3448275862068966,1.0
campaign,abandoned_reservation_v2,7,4,4,1,4,22.571428571428573,3.857142857142857,0.5714285714285714,0.5714285714285714,1.0,0.14285714285714285,0.5714285714285714,1.0
campaign,referral_share_25,6,2,2,0,2,2.3333333333333335,2.6666666666666665,0.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0
campaign,120244167499720340,155,5,1,3,5,2.9806451612903224,0.07096774193548387,0.03225806451612903,0.0064516129032258064,0.2,0.01935483870967742,0.03225806451612903,1.0
campaign,influencer,38,2,1,2,2,6.552631578947368,0.13157894736842105,0.05263157894736842,0.02631578947368421,0.5,0.05263157894736842,0.05263157894736842,1.0
campaign,family-special-2026-05,22,1,1,0,1,4.090909090909091,0.2727272727272727,0.045454545454545456,0.045454545454545456,1.0,0.0,0.045454545454545456,1.0
campaign,23754385140,20,1,1,1,1,16.0,0.6,0.05,0.05,1.0,0.05,0.05,1.0
campaign,seoul_en_2026q2,8684,0,0,0,0,1.2711883924458776,0.0,0.0,0.0,,0.0,0.0,
campaign,23725606539,6218,4,0,0,4,1.386297844966227,0.0008041170794467674,0.000643293663557414,0.0,0.0,0.0,0.000643293663557414,1.0
campaign,seoul_zh_2026q2,3695,2,0,2,2,1.542083897158322,0.0008119079837618403,0.0005412719891745603,0.0,0.0,0.0005412719891745603,0.0005412719891745603,1.0
campaign,120239187540070340,2389,0,0,0,0,1.0661364587693596,0.0,0.0,0.0,,0.0,0.0,
campaign,23754391341,356,0,0,0,0,1.8174157303370786,0.0,0.0,0.0,,0.0,0.0,
campaign,Core+Appeal+Validation+%7C+v1+%7C+2025-11,132,0,0,0,0,1.871212121212121,0.0,0.0,0.0,,0.0,0.0,
campaign,23735454211,123,0,0,0,0,1.3983739837398375,0.0,0.0,0.0,,0.0,0.0,
campaign,120246525617030340,86,1,0,1,1,4.3604651162790695,0.12790697674418605,0.011627906976744186,0.0,0.0,0.011627906976744186,0.011627906976744186,1.0
campaign,supera26,40,0,0,0,0,1.875,0.0,0.0,0.0,,0.0,0.0,
campaign,120246521735130340,35,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
campaign,logo_click,29,0,0,0,0,1.8275862068965518,0.0,0.0,0.0,,0.0,0.0,
campaign,120244137151140340,23,0,0,0,0,1.173913043478261,0.0,0.0,0.0,,0.0,0.0,
campaign,120244330531970340,11,0,0,0,0,3.090909090909091,0.0,0.0,0.0,,0.0,0.0,
campaign,domain_click,7,0,0,0,0,2.4285714285714284,0.0,0.0,0.0,,0.0,0.0,
campaign,23923003826,5,0,0,0,0,3.0,0.0,0.0,0.0,,0.0,0.0,
campaign,23730825041,2,0,0,0,0,2.5,0.0,0.0,0.0,,0.0,0.0,
campaign,23923173272,2,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
campaign,Orcar Purchase Asia,2,0,0,0,0,4.5,0.0,0.0,0.0,,0.0,0.0,
campaign,arbstub,2,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
campaign,23754401031,1,0,0,0,0,2.0,0.0,0.0,0.0,,0.0,0.0,
campaign,as-npt117206356,1,0,0,0,0,1.0,0.0,0.0,0.0,,0.0,0.0,
language,(unknown),7014,7014,1952,0,6916,0.0,2.469061876247505,1.0,0.27830054177359564,0.27830054177359564,0.0,0.9860279441117764,0.9860279441117764
language,en,40192,1922,807,1179,1908,5.211260947452229,0.14535230891719744,0.04782046178343949,0.02007862261146497,0.4198751300728408,0.02933419585987261,0.04747213375796178,0.9927159209157128
language,zh,9327,537,114,344,535,6.599978556877882,0.14570601479575426,0.05757478288838855,0.012222579607590866,0.2122905027932961,0.0368821700439584,0.05736035166720274,0.9962756052141527
language,de,325,26,14,15,26,8.753846153846155,0.16,0.08,0.043076923076923075,0.5384615384615384,0.046153846153846156,0.08,1.0
