dimension,segment,dropoff_metric,denominator,segment_n,segment_dropoffs,segment_dropoff_rate,rest_dropoff_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
medium,marketing,no_insurance_selected_event_among_reservation_users,reservation_users,1,1,1.0,0.830545229244114,0.169454770755886,0.451690214166401,0.6514921689625884,False,0.9118587296249975,False,higher,insurance_dropoff
medium,paid,no_insurance_selected_event_among_reservation_users,reservation_users,6,2,0.3333333333333333,0.8308709577435686,-0.49753762441023525,-3.247702872034747,0.0011634069267066967,False,0.00432122572776773,True,lower,insurance_dropoff
medium,referral,no_insurance_selected_event_among_reservation_users,reservation_users,8,4,0.5,0.8308360028934587,-0.3308360028934587,-2.493375111900038,0.012653508907268548,False,0.03289912315889822,True,lower,insurance_dropoff
medium,retargeting,no_insurance_selected_event_among_reservation_users,reservation_users,4,3,0.75,0.8305960128085942,-0.08059601280859419,-0.42959889338082863,0.6674874422118671,False,0.9118587296249975,False,lower,insurance_dropoff
medium,social,no_insurance_selected_event_among_reservation_users,reservation_users,3,0,0.0,0.8308200784961784,-0.8308200784961784,-3.8353909678305382,0.00012536471206871436,False,0.0005681190637035154,True,lower,insurance_dropoff
medium,{{placement}},no_insurance_selected_event_among_reservation_users,reservation_users,12,5,0.4166666666666667,0.831076191460767,-0.41440952479410037,-3.8243747013950338,0.00013110439931619586,False,0.0005681190637035154,True,lower,insurance_dropoff
medium,(unknown),no_insurance_row_among_reservation_users,reservation_users,8309,105,0.012636899747262006,0.007267441860465116,0.00536945788679689,1.7031737713659776,0.0885355535629821,True,0.19182703271979454,False,higher,insurance_dropoff
medium,INFLUENCER,no_insurance_row_among_reservation_users,reservation_users,20,1,0.05,0.011795137092602173,0.03820486290739783,1.575721628044066,0.11508997079819175,False,0.2301799415963835,False,higher,insurance_dropoff
medium,blog,no_insurance_row_among_reservation_users,reservation_users,10,0,0.0,0.011886304909560724,-0.011886304909560724,-0.34683049598581067,0.7287186650730694,False,0.9118587296249975,False,lower,insurance_dropoff
medium,cpc,no_insurance_row_among_reservation_users,reservation_users,1306,9,0.006891271056661562,0.012650674304809643,-0.005759403248148082,-1.7872697057585893,0.0738939078546611,True,0.17465832765647168,False,lower,insurance_dropoff
medium,crm,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9118587296249975,False,lower,insurance_dropoff
