dimension,segment,dropoff_metric,denominator,segment_n,segment_dropoffs,segment_dropoff_rate,rest_dropoff_rate,diff_pp,z_score,p_value,meets_min_users,q_value,significant_fdr_05,direction,metric
language,ko,no_insurance_row_among_reservation_users,reservation_users,25,0,0.0,0.011904761904761904,-0.011904761904761904,-0.5488127659389138,0.5831339485579283,False,0.912705628466647,False,lower,insurance_dropoff
language,lt,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.912705628466647,False,lower,insurance_dropoff
language,nl,no_insurance_row_among_reservation_users,reservation_users,19,0,0.0,0.011897372232567763,-0.011897372232567763,-0.4782953612563774,0.6324399975156884,False,0.912705628466647,False,lower,insurance_dropoff
language,pl,no_insurance_row_among_reservation_users,reservation_users,4,0,0.0,0.01187893812622663,-0.01187893812622663,-0.21928688047101796,0.8264265810749173,False,0.912705628466647,False,lower,insurance_dropoff
language,pt,no_insurance_row_among_reservation_users,reservation_users,7,0,0.0,0.011882620376110768,-0.011882620376110768,-0.29013423340906386,0.7717135471316448,False,0.912705628466647,False,lower,insurance_dropoff
language,ro,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.912705628466647,False,lower,insurance_dropoff
language,ru,no_insurance_row_among_reservation_users,reservation_users,13,0,0.0,0.011889991728701406,-0.011889991728701406,-0.3955089321664204,0.6924673309448588,False,0.912705628466647,False,lower,insurance_dropoff
language,sk,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.912705628466647,False,lower,insurance_dropoff
language,sq,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.912705628466647,False,lower,insurance_dropoff
language,sr,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.912705628466647,False,lower,insurance_dropoff
language,sv,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.912705628466647,False,lower,insurance_dropoff
language,th,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.912705628466647,False,lower,insurance_dropoff
language,tr,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.912705628466647,False,lower,insurance_dropoff
language,uk,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.912705628466647,False,lower,insurance_dropoff
language,vi,no_insurance_row_among_reservation_users,reservation_users,5,0,0.0,0.011880165289256199,-0.011880165289256199,-0.24518284907574983,0.8063148556198221,False,0.912705628466647,False,lower,insurance_dropoff
language,zh,no_insurance_row_among_reservation_users,reservation_users,537,2,0.0037243947858473,0.01235242675994753,-0.00862803197410023,-1.7939357725331682,0.07282342089806021,True,0.20334269629418128,False,lower,insurance_dropoff
channel,(unknown) / (unknown),no_insurance_selected_event_among_reservation_users,reservation_users,7775,7350,0.9453376205787781,0.3633507853403141,0.5819868352384641,60.74905609697358,0.0,True,0.0,True,higher,insurance_dropoff
channel,BFF / referral,no_insurance_selected_event_among_reservation_users,reservation_users,6,2,0.3333333333333333,0.8308709577435686,-0.49753762441023525,-3.247702872034747,0.0011634069267066967,False,0.005817034633533483,True,lower,insurance_dropoff
channel,INFLUENCER / INFLUENCER,no_insurance_selected_event_among_reservation_users,reservation_users,13,5,0.38461538461538464,0.8311621174524401,-0.4465467328370554,-4.289001788250213,1.794779282441529e-05,False,0.00011965195216276859,True,lower,insurance_dropoff
channel,app / (unknown),no_insurance_selected_event_among_reservation_users,reservation_users,534,249,0.46629213483146065,0.8518194732816086,-0.3855273384501479,-23.084452425133303,6.634282816291257e-118,True,8.845710421721676e-117,True,lower,insurance_dropoff
channel,app / INFLUENCER,no_insurance_selected_event_among_reservation_users,reservation_users,7,3,0.42857142857142855,0.8308534821244059,-0.40228205355297736,-2.836168167959434,0.0045658397562564085,False,0.015219465854188027,True,lower,insurance_dropoff
channel,app / cpc,no_insurance_selected_event_among_reservation_users,reservation_users,24,8,0.3333333333333333,0.8317979505227202,-0.4984646171893869,-6.501453922059474,7.954740301655034e-11,False,7.954740301655034e-10,True,lower,insurance_dropoff
channel,app / link,no_insurance_selected_event_among_reservation_users,reservation_users,1,0,0.0,0.8306484923585296,-0.8306484923585296,-2.214135333793132,0.026819470646929168,False,0.06704867661732292,False,lower,insurance_dropoff
channel,app / referral,no_insurance_selected_event_among_reservation_users,reservation_users,2,2,1.0,0.8305277290096045,0.16947227099039552,0.6388194109578266,0.5229404191383358,False,0.9127056284666469,False,higher,insurance_dropoff
channel,app / {{placement}},no_insurance_selected_event_among_reservation_users,reservation_users,2,0,0.0,0.8307342765671796,-0.8307342765671796,-3.1314219023429355,0.001739620477925121,False,0.006958481911700484,True,lower,insurance_dropoff
channel,email / marketing,no_insurance_selected_event_among_reservation_users,reservation_users,1,1,1.0,0.830545229244114,0.169454770755886,0.451690214166401,0.6514921689625884,False,0.9127056284666469,False,higher,insurance_dropoff
channel,fb / paid,no_insurance_selected_event_among_reservation_users,reservation_users,4,1,0.25,0.8308026030368764,-0.5808026030368764,-3.095837459477159,0.001962579108071887,False,0.007136651302079589,True,lower,insurance_dropoff
channel,google / cpc,no_insurance_selected_event_among_reservation_users,reservation_users,1282,411,0.3205928237129485,0.9083660597405688,-0.5877732360276203,-52.25531766465855,0.0,True,0.0,True,lower,insurance_dropoff
channel,google / demandgen,no_insurance_selected_event_among_reservation_users,reservation_users,2,0,0.0,0.8307342765671796,-0.8307342765671796,-3.1314219023429355,0.001739620477925121,False,0.006958481911700484,True,lower,insurance_dropoff
channel,ig / link,no_insurance_selected_event_among_reservation_users,reservation_users,1,0,0.0,0.8306484923585296,-0.8306484923585296,-2.214135333793132,0.026819470646929168,False,0.06704867661732292,False,lower,insurance_dropoff
channel,ig / paid,no_insurance_selected_event_among_reservation_users,reservation_users,2,1,0.5,0.8306310027883921,-0.3306310027883921,-1.2463012456925546,0.21265382072242273,False,0.42530764144484545,False,lower,insurance_dropoff
channel,ig / social,no_insurance_selected_event_among_reservation_users,reservation_users,3,0,0.0,0.8308200784961784,-0.8308200784961784,-3.8353909678305382,0.00012536471206871436,False,0.0007163697832497963,True,lower,insurance_dropoff
channel,shuttle-blog / blog,no_insurance_selected_event_among_reservation_users,reservation_users,10,1,0.1,0.8313178294573643,-0.7313178294573643,-6.161566492023657,7.202881403078662e-10,False,5.762305122462929e-09,True,lower,insurance_dropoff
channel,whatsapp / crm,no_insurance_selected_event_among_reservation_users,reservation_users,2,2,1.0,0.8305277290096045,0.16947227099039552,0.6388194109578266,0.5229404191383358,False,0.9127056284666469,False,higher,insurance_dropoff
channel,whatsapp / retargeting,no_insurance_selected_event_among_reservation_users,reservation_users,4,3,0.75,0.8305960128085942,-0.08059601280859419,-0.42959889338082863,0.6674874422118671,False,0.9127056284666469,False,lower,insurance_dropoff
channel,{{site_source_name}} / {{placement}},no_insurance_selected_event_among_reservation_users,reservation_users,10,5,0.5,0.8309043927648578,-0.33090439276485784,-2.7879662390239184,0.0053040070966187715,False,0.016320021835750067,True,lower,insurance_dropoff
channel,(unknown) / (unknown),no_insurance_row_among_reservation_users,reservation_users,7775,102,0.013118971061093247,0.006806282722513089,0.006312688338580158,2.282055248136456,0.02248607865459038,True,0.06424593901311537,False,higher,insurance_dropoff
channel,BFF / referral,no_insurance_row_among_reservation_users,reservation_users,6,0,0.0,0.011881392705858043,-0.011881392705858043,-0.26859822853811816,0.7882388756374707,False,0.9127056284666469,False,lower,insurance_dropoff
channel,INFLUENCER / INFLUENCER,no_insurance_row_among_reservation_users,reservation_users,13,1,0.07692307692307693,0.011786600496277916,0.06513647642679901,2.1667011066508253,0.030257652167020213,False,0.07119447568710638,False,higher,insurance_dropoff
channel,app / (unknown),no_insurance_row_among_reservation_users,reservation_users,534,3,0.0056179775280898875,0.012239099551961534,-0.006621122023871646,-1.3730344102594805,0.16974164957189936,True,0.3573508412039986,False,lower,insurance_dropoff
channel,app / INFLUENCER,no_insurance_row_among_reservation_users,reservation_users,7,0,0.0,0.011882620376110768,-0.011882620376110768,-0.29013423340906386,0.7717135471316448,False,0.9127056284666469,False,lower,insurance_dropoff
channel,app / cpc,no_insurance_row_among_reservation_users,reservation_users,24,0,0.0,0.011903529655315185,-0.011903529655315185,-0.5376966659801913,0.5907864813667945,False,0.9127056284666469,False,lower,insurance_dropoff
channel,app / link,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.9127056284666469,False,lower,insurance_dropoff
channel,app / referral,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9127056284666469,False,lower,insurance_dropoff
channel,app / {{placement}},no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9127056284666469,False,lower,insurance_dropoff
channel,email / marketing,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.9127056284666469,False,lower,insurance_dropoff
channel,fb / paid,no_insurance_row_among_reservation_users,reservation_users,4,0,0.0,0.01187893812622663,-0.01187893812622663,-0.21928688047101796,0.8264265810749173,False,0.9127056284666469,False,lower,insurance_dropoff
channel,google / cpc,no_insurance_row_among_reservation_users,reservation_users,1282,9,0.0070202808112324495,0.012614542425324289,-0.0055942616140918396,-1.7224589876388459,0.08498640602616125,True,0.1888586800581361,False,lower,insurance_dropoff
channel,google / demandgen,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9127056284666469,False,lower,insurance_dropoff
channel,ig / link,no_insurance_row_among_reservation_users,reservation_users,1,0,0.0,0.011875258157786039,-0.011875258157786039,-0.10962645573533186,0.912705628466647,False,0.9127056284666469,False,lower,insurance_dropoff
channel,ig / paid,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9127056284666469,False,lower,insurance_dropoff
channel,ig / social,no_insurance_row_among_reservation_users,reservation_users,3,0,0.0,0.011877711216690767,-0.011877711216690767,-0.18989820167959526,0.8493889016813048,False,0.9127056284666469,False,lower,insurance_dropoff
channel,shuttle-blog / blog,no_insurance_row_among_reservation_users,reservation_users,10,0,0.0,0.011886304909560724,-0.011886304909560724,-0.34683049598581067,0.7287186650730694,False,0.9127056284666469,False,lower,insurance_dropoff
channel,whatsapp / crm,no_insurance_row_among_reservation_users,reservation_users,2,0,0.0,0.011876484560570071,-0.011876484560570071,-0.15504322582565314,0.876787240024036,False,0.9127056284666469,False,lower,insurance_dropoff
channel,whatsapp / retargeting,no_insurance_row_among_reservation_users,reservation_users,4,0,0.0,0.01187893812622663,-0.01187893812622663,-0.21928688047101796,0.8264265810749173,False,0.9127056284666469,False,lower,insurance_dropoff
channel,{{site_source_name}} / {{placement}},no_insurance_row_among_reservation_users,reservation_users,10,0,0.0,0.011886304909560724,-0.011886304909560724,-0.34683049598581067,0.7287186650730694,False,0.9127056284666469,False,lower,insurance_dropoff
