vehicle_id,vehicle_model_id,model_name,erp_record_created_at_utc_observed_not_acquisition,vehicle_registration_date_observed_not_acquisition,erp_soft_deleted_at_utc_observed_not_sale,acquisition_date,acquisition_date_status,purchase_price_krw,purchase_price_status,sale_or_disposal_date,sale_or_disposal_date_status,sale_price_krw,sale_price_status,holding_period_days,holding_period_status,classification
11649,2141,25년 BMW 미니 컨트리맨 4륜(휘),2025-02-28 07:44:23.899474,2025-02-28,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11650,2143,25년 투싼 하이브리드 4륜(휘),2025-03-04 01:32:16.108974,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11651,2143,25년 투싼 하이브리드 4륜(휘),2025-03-04 01:32:37.933547,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11652,2143,25년 투싼 하이브리드 4륜(휘),2025-03-04 01:32:53.541654,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11653,2143,25년 투싼 하이브리드 4륜(휘),2025-03-04 01:33:59.792292,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11654,2143,25년 투싼 하이브리드 4륜(휘),2025-03-04 01:34:17.511516,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11655,2143,25년 투싼 하이브리드 4륜(휘),2025-03-04 01:42:08.265125,2025-03-10,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11656,2143,25년 투싼 하이브리드 4륜(휘),2025-03-04 01:42:30.486816,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11657,2143,25년 투싼 하이브리드 4륜(휘),2025-03-04 01:42:55.859983,2025-03-10,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11658,2143,25년 투싼 하이브리드 4륜(휘),2025-03-04 01:43:19.554133,2025-03-07,,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
11678,2143,25년 투싼 하이브리드 4륜(휘),2025-03-06 06:14:25.755290,2025-03-06,2025-03-06 06:15:21,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable_no_verified_acquisition_or_sale_date,observed_reference_fields_plus_unavailable_requested_fields
