vehicle_id,vehicle_model_id,model_name,vehicle_class,valid_reservation_count_strong_join,first_pickup_at_utc,last_dropoff_at_utc,rows_with_final_price,booked_final_price_krw_sum_proxy,average_booked_final_price_krw_formula,booked_rental_hours_sum,mileage_observation_count,observed_driven_km_sum,true_utilization_rate,true_utilization_status,join_method,join_quality,classification
8836,1925,23년 4세대 카니발 리무진 7인승(경유),RV,1,2024-11-20 00:30:00,2024-11-23 06:00:00,1,216639,216639.0,77.5,1,384,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8872,1924,23년 4세대 카니발 9인승(휘),RV,1,2026-08-18 09:00:00,2026-08-21 10:00:00,1,126000,126000.0,73.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8882,1939,24년 레이(휘),URBAN,1,2026-08-18 07:00:00,2026-08-25 00:00:00,1,154700,154700.0,161.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8891,1951,24년 더 뉴 쏘렌토 하이브리드(7인/휘),SUV,1,2026-08-18 11:30:00,2026-08-22 02:00:00,1,145600,145600.0,86.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8893,1951,24년 더 뉴 쏘렌토 하이브리드(7인/휘),SUV,1,2026-08-18 09:30:00,2026-08-23 01:00:00,1,210000,210000.0,111.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8906,1976,24년 더 뉴 카니발 9인승(휘),RV,1,2026-08-18 23:00:00,2026-08-22 04:00:00,1,149100,149100.0,77.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8933,1970,24년 더 뉴 K3(휘),COMPACT,1,2026-08-18 11:30:00,2026-08-21 03:00:00,1,62700,62700.0,63.5,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8939,1946,24년 더 뉴 K5 하이브리드(휘),MIDSIZE,1,2026-08-18 09:30:00,2026-08-21 05:30:00,1,76230,76230.0,68.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8950,1946,24년 더 뉴 K5 하이브리드(휘),MIDSIZE,1,2026-08-18 12:00:00,2026-08-21 06:00:00,1,76230,76230.0,66.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
8953,1946,24년 더 뉴 K5 하이브리드(휘),MIDSIZE,1,2026-08-18 12:00:00,2026-08-22 03:00:00,1,101640,101640.0,87.0,0,0,,unavailable_no_historical_vehicle_availability_denominator,reservation.assigned_vehicle_id = vehicle.id,strong_direct_fk_but_sparse,observed_aggregate_plus_formula
