vehicle_model_id,model_name,vehicle_class,all_reservation_count,valid_reservation_count,canceled_reservation_count,pending_reservation_count,first_pickup_at_utc,last_observed_dropoff_at_utc,valid_rows_with_final_price,valid_booked_final_price_krw_sum_proxy,average_booked_final_price_krw_formula,valid_booked_rental_hours_sum,valid_joined_vehicle_count_reserved_or_assigned,customer_insurance_fee_krw_sum_not_cost,true_utilization_rate,true_utilization_status,join_method,classification
2015,24년 더 뉴 모하비 마스터즈 4WD 7인승(경유),CITY,259,148,89,22,2024-03-13 00:00:00,2024-11-26 09:00:00,148,28119848,189998.97297297296,9227.08,5,88200,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1959,24년 더 뉴 셀토스(휘),SUV,2767,2165,493,109,2024-04-12 00:00:00,2026-08-23 05:30:00,2162,240177850,111090.58741905644,136187.52,16,519200,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2020,24년 더 뉴 스포티지 하이브리드 4륜(휘),CITY,103,43,45,15,2024-07-19 00:00:00,2024-10-26 07:30:00,43,10318810,239972.32558139536,2895.48,5,31400,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1944,24년 더 뉴 쏘렌토 4륜(7인/휘),SUV,3301,2616,566,119,2023-09-21 00:00:00,2026-08-25 03:00:00,2605,385830089,148111.3585412668,169997.25,18,895400,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1957,24년 더 뉴 쏘렌토 하이브리드 4륜(5인/휘),SUV,1157,852,273,32,2024-03-28 00:00:00,2026-08-21 06:30:00,850,138319817,162729.19647058824,53214.68,4,115000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1951,24년 더 뉴 쏘렌토 하이브리드(7인/휘),SUV,1854,1337,446,71,2024-01-30 00:00:00,2026-08-23 01:00:00,1333,220574136,165471.9699924981,85468.83,16,482000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1942,24년 더 뉴 아반떼(휘),COMPACT,4986,4056,790,140,2023-07-28 00:00:00,2026-08-22 08:30:00,4043,373494322,92380.49023002721,236243.5,16,1612200,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1969,24년 더 뉴 카니발 9인승(경유),RV,1807,1383,357,67,2024-07-02 00:00:00,2026-08-21 09:00:00,1377,249206726,180978.01452432826,92382.3,11,202000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1976,24년 더 뉴 카니발 9인승(휘),RV,737,569,139,29,2024-09-24 00:00:00,2026-08-22 04:30:00,564,100649823,178457.1329787234,35789.6,5,1800,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2018,24년 더 뉴 카니발 리무진 7인승(휘),CITY,128,41,63,24,2024-07-10 00:00:00,2024-11-25 05:00:00,41,11466864,279679.60975609755,2704.25,3,94000,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1958,24년 더 뉴 카니발 하이브리드 9인승(휘),RV,462,320,121,21,2024-04-09 00:00:00,2026-08-21 09:00:00,319,66744274,209229.69905956113,20822.62,2,240800,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1973,24년 더 뉴 카니발리무진 7인(경유),RV,883,617,237,29,2024-09-03 00:00:00,2026-08-21 10:30:00,614,119195613,194129.6628664495,39349.17,4,79200,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1975,24년 더 뉴 투싼 4륜(휘),SUV,994,808,164,22,2024-09-22 00:00:00,2026-08-21 05:50:00,804,101033859,125664.00373134328,49851.7,5,36800,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
2013,24년 더 뉴 투싼 하이브리드(휘),CITY,391,268,94,29,2024-01-23 00:00:00,2024-11-09 04:00:00,268,42305566,157856.58955223882,16908.58,5,273400,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
1953,24년 더 올뉴머스탱컨버터블2.3 (휘),IMPORTED,2442,1905,421,116,2024-03-01 00:00:00,2026-08-20 08:00:00,1888,415100048,219862.31355932204,99241.18,8,784400,,unavailable_no_historical_model_fleet_denominator,reservation.vehicle_model_id = vehicle_model.id,observed_aggregate_plus_formula
