model_family,vehicle_class,model_year_latest,fleet_vehicle_days,booked_vehicle_days,revenue_krw,avg_age_years,utilization_rate,revenue_per_fleet_day,reservation_count,unique_joined_users,avg_reservation_price_krw,family_year_rank_by_revenue_per_fleet_day
레이,URBAN,2018.0,2156,11.565972222222221,209370.0,7.13347022587269,0.005364551123479695,97.1103896103896,5.0,4.0,41874.0,5.0
레이,SUV,2022.0,4704,561.7388888888889,22898115.242494226,3.8042436687200545,0.11941728080120938,4867.796607673092,207.0,159.0,111406.66666666667,3.0
레이,URBAN,2024.0,2940,359.99861111111113,10330065.0,1.8056125941136205,0.12244850718065005,3513.627551020408,160.0,130.0,64562.90625,4.0
레이,URBAN,2025.0,11110,3952.89375,125249785.35856788,0.8035592060232717,0.35579601710171016,11273.608043075417,1793.0,1296.0,70044.79085331847,2.0
레이,URBAN,2026.0,1079,395.3208333333333,13583376.971830986,0.31211498973305957,0.366377046648131,12588.857249148274,192.0,148.0,72157.94270833333,1.0
머스탱,IMPORTED,2020.0,1326,111.925,9515275.0,5.605749486652978,0.08440799396681749,7175.92383107089,55.0,46.0,173005.0,4.0
머스탱,IMPORTED,2021.0,1326,125.52986111111112,12032895.0,4.6036960985626285,0.09466807021954081,9074.581447963801,58.0,50.0,207463.7068965517,3.0
머스탱,IMPORTED,2023.0,2352,322.7347222222222,31914151.788990825,2.8049281314168377,0.13721714380196523,13568.942087155963,144.0,127.0,222618.78472222222,2.0
머스탱,IMPORTED,2024.0,4704,1297.5145833333333,142838475.6707317,1.8056125941136205,0.2758321818310658,30365.32220891405,620.0,524.0,230660.9435483871,1.0
모닝,URBAN,2018.0,490,0.0,0.0,7.13347022587269,0.0,0.0,,,,2.0
모닝,URBAN,2022.0,9494,1128.6215277777778,29015828.71631206,3.8042436687200545,0.11887734651124687,3056.2280088805624,478.0,350.0,60726.219665271965,1.0
미니,IMPORTED,2022.0,3528,396.55902777777777,25884894.0,3.8042436687200545,0.11240335254472159,7336.988095238095,183.0,156.0,141447.50819672132,3.0
미니,IMPORTED,2024.0,2352,345.9243055555556,26343800.0,1.8056125941136205,0.14707666052532126,11200.595238095239,174.0,144.0,151401.14942528735,2.0
미니,IMPORTED,2025.0,5472,1127.6284722222222,96226001.00613107,0.9274504145186373,0.20607245471897334,17585.16100258243,514.0,433.0,187313.64785992217,1.0
베뉴,SUV,2019.0,196,0.0,0.0,6.134154688569473,0.0,0.0,,,,2.0
베뉴,SUV,2022.0,1176,185.77083333333334,6897383.450704225,3.8042436687200545,0.15796839569160998,5865.121981891348,83.0,66.0,84170.78313253012,1.0
베리뉴티볼리,SUV,2020.0,2352,129.45833333333334,5468090.0,5.805612594113621,0.05504180839002268,2324.8681972789113,55.0,45.0,99419.81818181818,1.0
벤츠,IMPORTED,2019.0,294,0.0,0.0,6.134154688569473,0.0,0.0,,,,5.0
벤츠,IMPORTED,2020.0,2352,225.34027777777777,20109180.0,5.805612594113621,0.09580794123204837,8549.82142857143,110.0,89.0,182810.72727272726,4.0
벤츠,IMPORTED,2021.0,1176,259.6375,24722390.0,4.803559206023271,0.2207801870748299,21022.440476190477,120.0,103.0,206019.91666666666,3.0
벤츠,SUPERCAR,2021.0,588,81.52569444444444,39691710.0,4.803559206023271,0.1386491402116402,67502.90816326531,48.0,40.0,857476.875,1.0
벤츠,IMPORTED,2024.0,2450,540.7979166666667,72085195.0,1.8056125941136205,0.22073384353741496,29422.52857142857,271.0,208.0,265997.0295202952,2.0
볼보 XC40,IMPORTED,2022.0,1176,131.35069444444446,11492615.0,3.8042436687200545,0.11169276738473168,9772.63180272109,57.0,42.0,201624.8245614035,1.0
셀토스,SUV,2020.0,2352,86.01736111111111,3614085.0,5.805612594113621,0.036572007275132275,1536.6007653061224,36.0,27.0,100391.25,1.0
스타리아,RV,2022.0,7030,265.0104166666667,22235770.0,3.5996275648815224,0.037697072072072076,3162.9829302987196,96.0,83.0,231622.60416666666,4.0
스타리아,RV,2023.0,5880,516.9631944444444,41947012.0,2.8049281314168377,0.08791891061980348,7133.845578231292,191.0,154.0,219617.86387434555,3.0
스타리아,RV,2024.0,8820,1326.3479166666666,106850892.25,1.8056125941136207,0.15037958238851096,12114.613633786848,522.0,399.0,205028.86973180078,2.0
