model_family,vehicle_class,old_year_count,newest_model_year,recent_old_revenue_krw,early_old_revenue_krw,recent_old_reservations,early_old_reservations,avg_recent_old_share,avg_share_change,avg_newer_year_pressure,avg_hold_value_score,avg_cannibalization_risk_score,old_revenue_retention,old_reservation_retention,family_signal
BMW 420i,IMPORTED,2,2026.0,7253233.386133847,6903498.980891719,24.0,46.0,0.16956619720378252,-0.3304338027962175,0.6608676055924351,37.22427771847034,59.773223338592366,1.0506604558369839,0.5217391304347826,차종 단위로 신형 쏠림
팰리세이드,SUV,2,2026.0,10885230.949844096,14026145.824829176,46.0,85.0,0.17674243236580198,-0.5646749681891111,0.6465151352683961,27.352905277016635,64.57907043454317,0.7760671453005278,0.5411764705882353,차종 단위로 신형 쏠림
쏘나타,MIDSIZE,2,2024.0,1738701.2426035502,2566982.5,14.0,31.0,0.06191112908449671,-0.02700173751298747,0.8761777418310065,24.297224379630222,53.11664833156225,0.6773327214359857,0.45161290322580644,차종 단위 추가 관찰
머스탱,IMPORTED,3,2024.0,2251256.788990826,3817749.810810811,11.0,26.0,0.035721644848368546,-0.060213035804755545,0.8928350654548943,18.024382150148433,58.82668843965467,0.5896815927057057,0.4230769230769231,차종 단위 추가 관찰
K8,LUXURY,1,2023.0,156750.0,553570.0,1.0,4.0,0.07202442627432691,-0.1675223219465889,1.0,15.546627462409223,62.388051589067544,0.28316202106328014,0.25,차종 단위로 신형 쏠림
코나,SUV,1,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21158116851310524,7.884188314868947,68.17371752769658,,,차종 단위 추가 관찰
베뉴,SUV,1,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,,,차종 단위 추가 관찰
모닝,URBAN,1,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,,,차종 단위 추가 관찰
싼타페,SUV,1,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,,,차종 단위 추가 관찰
QM6,SUV,1,2021.0,0.0,224745.0,0.0,3.0,0.0,-0.3581870531993319,1.0,0.0,86.32748212797327,0.0,0.0,차종 단위로 신형 쏠림
