date,model_name,vehicle_class,model_year_latest,model_family,fleet_count,vehicle_age_years,age_bucket,booked_hours,revenue_krw,fleet_vehicle_days,booked_vehicle_days,utilization_rate,revenue_per_fleet_day
2025-01-01,22년 스포티지(경유),SUV,2022.0,스포티지,10,3.0006844626967832,2-3년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,22년 스포티지(휘),SUV,2022.0,스포티지,5,3.0006844626967832,2-3년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,22년 쏘렌토 하이브리드(7인/휘),SUV,2022.0,쏘렌토,3,3.0006844626967832,2-3년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,22년 캐스퍼(휘),URBAN,2022.0,캐스퍼,10,3.0006844626967832,2-3년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,22년 포르쉐 718박스터 컨버터블(휘),SUPERCAR,2022.0,포르쉐,2,3.0006844626967832,2-3년,0.0,0.0,2,0.0,0.0,0.0
2025-01-01,22년 폭스바겐 제타(휘),IMPORTED,2022.0,폭스바겐 제타,3,3.0006844626967832,2-3년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,23년 4세대 쏘렌토(5인/경유),SUV,2023.0,쏘렌토,3,2.001368925393566,2-3년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,23년 4세대 쏘렌토(5인/휘),SUV,2023.0,쏘렌토,3,2.001368925393566,2-3년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,23년 4세대 쏘렌토(7인/휘),SUV,2023.0,쏘렌토,1,2.001368925393566,2-3년,0.0,0.0,1,0.0,0.0,0.0
2025-01-01,23년 4세대 카니발 9인승(경유),RV,2023.0,카니발,21,2.001368925393566,2-3년,0.0,0.0,21,0.0,0.0,0.0
2025-01-01,23년 4세대 카니발 9인승(휘),RV,2023.0,카니발,7,2.001368925393566,2-3년,0.0,0.0,7,0.0,0.0,0.0
2025-01-01,23년 4세대 카니발 리무진 7인승(경유),RV,2023.0,카니발,5,2.001368925393566,2-3년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,23년 GV70(5인/휘),SUV,2023.0,GV70,5,2.001368925393566,2-3년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,23년 GV80 4륜(7인/휘),SUV,2023.0,GV80,4,2.001368925393566,2-3년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,23년 K8(LPG),LUXURY,2023.0,K8,3,2.001368925393566,2-3년,0.0,0.0,3,0.0,0.0,0.0
2025-01-01,23년 디올뉴 그랜저(휘),LUXURY,2023.0,디올뉴 그랜저,5,2.001368925393566,2-3년,0.0,0.0,5,0.0,0.0,0.0
2025-01-01,23년 머스탱컨버터블(휘),IMPORTED,2023.0,머스탱,4,2.001368925393566,2-3년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,23년 스타리아  9인승 4륜(경유),RV,2023.0,스타리아,10,2.001368925393566,2-3년,0.0,0.0,10,0.0,0.0,0.0
2025-01-01,23년 쏠라티(15인/경유),RV,2023.0,쏠라티,4,2.001368925393566,2-3년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,23년 지프 랭글러 파워탑(휘),IMPORTED,2023.0,랭글러,4,2.001368925393566,2-3년,0.0,0.0,4,0.0,0.0,0.0
2025-01-01,23년 카니발 하이리무진 9인승(경유),RV,2023.0,카니발,3,2.001368925393566,2-3년,0.0,0.0,3,0.0,0.0,0.0
