model_family,vehicle_class,model_year_latest,first_month,last_month,active_months,early_revenue_krw,recent_revenue_krw,early_reservations,recent_reservations,early_revenue_per_fleet_day,recent_revenue_per_fleet_day,early_utilization_rate,recent_utilization_rate,early_family_revenue_share,recent_family_revenue_share,newest_model_year,family_model_year_count,newest_recent_revenue_share,has_newer_year_in_family,year_gap_to_newest,revenue_per_fleet_day_retention,reservation_retention,family_share_change,newer_year_pressure,hold_value_score,cannibalization_risk_score,year_switch_signal
BMW 420i,IMPORTED,2024.0,2025-01,2026-08,20,5198723.980891719,7253233.386133847,35.0,24.0,11552.719957537154,20147.870517038464,0.15222222222222223,0.16596257716049384,0.7530563842018855,0.33913239440756504,2026.0,3,0.6608676055924351,True,2.0,1.7439936734460282,0.6857142857142857,-0.41392398979432043,0.6608676055924351,71.05723149286503,36.755687961373624,구형 연식도 보유 가치 있음
아반떼,COMPACT,2026.0,2026-02,2026-08,7,7966691.785749029,12149185.419147504,115.0,100.0,10084.419981960797,10546.167898565542,0.31150052742616036,0.20623854648919754,0.21065830645253264,0.29586802377985083,2026.0,6,0.29586802377985083,False,0.0,1.0457882473588693,0.8695652173913043,0.08520971732731819,0.0,70.20496241080357,2.6086956521739135,추가 관찰
벤츠,IMPORTED,2020.0,2025-01,2026-08,20,710870.0,2260178.75,5.0,14.0,1974.638888888889,7847.842881944444,0.024951774691358026,0.09225501543209877,0.09685364058604323,0.09548686183971808,2024.0,4,0.4977660104898143,True,4.0,3.9743180011816506,2.8,-0.0013667787463251535,0.4977660104898143,69.3771152946165,15.52116130720022,추가 관찰
카니발,RV,2023.0,2025-01,2026-08,20,6430472.615933413,12452746.696303941,48.0,55.0,1984.7137703498188,4804.300422956768,0.03296360596707819,0.061216670953360766,0.16629799453376004,0.1416815806112202,2026.0,7,0.16807330751477997,True,3.0,2.420651529066571,1.1458333333333333,-0.024616413922539854,0.16807330751477997,67.93730818428043,9.505756169623293,추가 관찰
GV70,SUV,2021.0,2025-01,2026-08,20,1061450.0,1378450.0,7.0,10.0,2948.472222222222,4786.284722222223,0.039081790123456785,0.07552083333333333,0.16272135772106117,0.12584519999693647,2025.0,3,0.6620254626333314,True,4.0,1.6233100946818033,1.4285714285714286,-0.0368761577241247,0.6620254626333314,66.9924224211632,19.405428248464958,추가 관찰
BMW 520i M스포츠,IMPORTED,2026.0,2026-02,2026-08,7,3651301.1235955055,3270065.0,19.0,12.0,11854.873777907485,11354.392361111111,0.10829274891774891,0.10217255015432099,1.0,1.0,2026.0,1,1.0,False,0.0,0.9577826448284028,0.631578947368421,0.0,0.0,66.89966735350094,8.84602848363748,추가 관찰
쏘렌토,SUV,2022.0,2025-01,2026-08,20,221255.00000000003,1351576.0875,2.0,9.0,819.462962962963,6257.296701388888,0.027469135802469135,0.10744598765432098,0.02527878874779423,0.0558087369610268,2024.0,5,0.6984395137632284,True,2.0,7.635850531626402,4.5,0.030529948213232568,0.6984395137632284,66.69471360006804,14.476592706448427,추가 관찰
테슬라 모델3,IMPORTED,2020.0,2025-01,2026-08,20,2185945.0,1713866.0,20.0,12.0,4857.655555555555,4760.738888888889,0.08078703703703705,0.08508873456790123,1.0,1.0,2020.0,1,1.0,False,0.0,0.9800486746006877,0.6,0.0,0.0,65.97312648142346,8.698296388975931,추가 관찰
투싼,SUV,2021.0,2025-01,2026-08,20,714050.0,1469235.0,7.0,9.0,1133.4126984126983,2915.1488095238096,0.024382716049382715,0.047660383597883604,0.04808365695293245,0.04029776459116476,2026.0,5,0.19569866433706795,True,5.0,2.5720100133043906,1.2857142857142858,-0.007785892361767688,0.19569866433706795,64.65740409900607,13.246915659526726,추가 관찰
K5,MIDSIZE,2020.0,2025-01,2026-08,20,847090.0,1670331.0293208514,12.0,23.0,376.4844444444444,1008.6540032130746,0.013146604938271605,0.03263805018786903,0.07742894927473734,0.04136018902961883,2026.0,5,0.5952717455594867,True,6.0,2.679138588850557,1.9166666666666667,-0.036068760245118514,0.5952717455594867,62.659973116862034,20.371826593197042,추가 관찰
K3,COMPACT,2020.0,2025-01,2026-08,20,283050.0,620920.0,5.0,7.0,314.5,862.3888888888889,0.011674382716049383,0.04291087962962963,0.03455329759326792,0.03508441041028067,2024.0,6,0.5096633022446754,True,4.0,2.7420950362126835,1.4,0.0005311128170127494,0.5096633022446754,62.54806283840892,15.64494953367013,추가 관찰
투싼,SUV,2026.0,2025-12,2026-08,9,8913552.126896553,7135068.9055420235,58.0,48.0,32770.41223123733,24774.544810909803,0.4777547998366013,0.39889805169753084,0.14739237277815234,0.19569866433706795,2026.0,5,0.19569866433706795,False,0.0,0.7560034532398794,0.8275862068965517,0.04830629155891561,0.0,61.50250990770059,11.988154998673188,추가 관찰
스타리아,RV,2023.0,2025-01,2026-08,20,2316445.4347826084,2892653.2824223954,14.0,13.0,2573.828260869565,4017.574003364438,0.03858796296296297,0.04617091049382716,0.252479810991865,0.14209477991939715,2026.0,4,0.4927162961157018,True,3.0,1.5609332077219111,0.9285714285714286,-0.11038503107246786,0.4927162961157018,60.90783524620088,19.23471711320567,추가 관찰
랭글러,IMPORTED,2023.0,2025-01,2026-08,20,3995190.0,2688709.5588235296,25.0,11.0,11097.75,9335.797079248367,0.12138117283950617,0.08402054398148148,1.0,1.0,2023.0,1,1.0,False,0.0,0.8412333201998934,0.44,0.0,0.0,60.536676776886395,16.756833793003732,추가 관찰
베리뉴티볼리,SUV,2020.0,2025-01,2026-08,20,524770.0,328035.0,4.0,3.0,1457.6944444444443,1139.0104166666667,0.028530092592592593,0.024739583333333332,1.0,1.0,2020.0,1,1.0,False,0.0,0.7813780322808088,0.75,0.0,0.0,59.71652908655221,12.651768870171692,추가 관찰
스포티지,SUV,2022.0,2025-01,2026-08,20,1972638.1506849318,2214220.0,19.0,12.0,1217.6778707931678,10251.018518518518,0.026984739368998627,0.1387281378600823,0.19755703289236043,0.07842781525004548,2026.0,3,0.5290696863856692,True,4.0,8.418497834604842,0.631578947368421,-0.11912921764231495,0.5290696863856692,59.59115664932901,28.069635054109217,추가 관찰
아반떼,COMPACT,2021.0,2025-01,2026-08,20,2265787.1273337943,2854630.730994152,29.0,23.0,1678.3608350620698,2643.176602772363,0.0720843621399177,0.06145833333333333,0.15669986152521603,0.06951856637806875,2026.0,6,0.29586802377985083,True,5.0,1.5748559830250162,0.7931034482758621,-0.08718129514714729,0.29586802377985083,59.0842750610024,22.063203197066414,추가 관찰
GV70,SUV,2023.0,2025-01,2026-08,20,2438777.2818791945,2323566.4539007093,14.0,13.0,5419.505070842654,6454.351260835304,0.06998148148148148,0.11117283950617285,0.3738670219856438,0.2121293373697321,2025.0,3,0.6620254626333314,True,2.0,1.1909484678887376,0.9285714285714286,-0.1617376846159117,0.6620254626333314,58.705039203849275,21.82846075270787,추가 관찰
카니발,RV,2026.0,2025-12,2026-08,9,18914221.68261335,14772381.25,74.0,54.0,35287.72701980103,25646.495225694445,0.33873212064676617,0.25579909336419754,0.1318233510246519,0.16807330751477997,2026.0,7,0.16807330751477997,False,0.0,0.7267822949124325,0.7297297297297297,0.03624995649012808,0.0,58.41091557827769,14.968025083470268,추가 관찰
GV80,SUV,2023.0,2025-01,2026-08,20,1102425.0,2320915.620689655,8.0,7.0,3062.2916666666665,8058.734794061303,0.05071373456790123,0.083984375,0.11651553940393762,0.11502396293290305,2025.0,3,0.8069526595906042,True,2.0,2.631602626810957,0.875,-0.001491576471034567,0.8069526595906042,58.23716108807675,18.66395295270045,추가 관찰
더 뉴 그랜저,LUXURY,2020.0,2025-01,2026-08,20,1745850.0,1152730.0,16.0,7.0,2771.190476190476,2287.1626984126983,0.062471340388007064,0.04698522927689594,1.0,1.0,2020.0,1,1.0,False,0.0,0.8253357963169803,0.4375,0.0,0.0,57.910282337343304,17.36324712890569,추가 관찰
